iter	Passed	Remaining
0	142	142794
1	144	71993
2	145	48341
3	146	36514
4	147	29392
5	148	24642
6	149	21230
7	150	18671
8	151	16675
9	152	15089
10	153	13781
11	154	12693
12	155	11778
13	156	11006
14	157	10319
15	157	9715
16	158	9180
17	159	8714
18	160	8291
19	161	7909
20	162	7566
21	163	7249
22	163	6962
23	164	6696
24	165	6450
25	166	6224
26	167	6019
27	167	5829
28	168	5648
29	169	5477
30	170	5330
31	171	5183
32	172	5041
33	172	4910
34	173	4786
35	174	4667
36	175	4555
37	175	4448
38	176	4346
39	177	4249
40	177	4159
41	178	4072
42	179	3990
43	179	3910
44	180	3834
45	181	3760
46	182	3690
47	182	3623
48	183	3558
49	184	3497
50	184	3438
51	185	3382
52	186	3328
53	186	3275
54	187	3225
55	188	3175
56	189	3129
57	189	3083
58	190	3038
59	191	2997
60	191	2955
61	192	2914
62	193	2876
63	194	2838
64	194	2802
65	195	2768
66	196	2732
67	196	2695
68	197	2663
69	198	2633
70	199	2604
71	199	2574
72	200	2545
73	201	2518
74	201	2490
75	202	2463
76	203	2437
77	204	2411
78	204	2387
79	205	2363
80	206	2339
81	206	2317
82	207	2294
83	208	2272
84	208	2249
85	209	2229
86	210	2206
87	211	2187
88	211	2167
89	212	2148
90	213	2129
91	213	2110
92	214	2092
93	215	2075
94	216	2058
95	216	2041
96	217	2024
97	218	2009
98	219	1993
99	219	1977
100	220	1961
101	220	1943
102	221	1928
103	222	1914
104	222	1899
105	223	1885
106	224	1871
107	224	1857
108	225	1845
109	226	1832
110	227	1820
111	227	1807
112	228	1794
113	229	1782
114	230	1770
115	230	1757
116	231	1745
117	232	1734
118	232	1722
119	233	1712
120	234	1701
121	234	1690
122	235	1677
123	236	1667
124	236	1657
125	237	1646
126	238	1636
127	238	1625
128	239	1615
129	240	1606
130	241	1598
131	241	1590
132	242	1581
133	243	1572
134	244	1563
135	244	1555
136	245	1546
137	246	1536
138	246	1528
139	247	1520
140	248	1511
141	248	1503
142	249	1495
143	250	1487
144	250	1479
145	251	1471
146	252	1463
147	252	1456
148	253	1448
149	254	1441
150	255	1434
151	255	1427
152	256	1419
153	257	1412
154	257	1405
155	258	1398
156	259	1391
157	259	1384
158	260	1377
159	261	1371
160	261	1364
161	262	1358
162	263	1352
163	263	1345
164	264	1339
165	265	1333
166	266	1327
167	266	1320
168	267	1315
169	268	1309
170	268	1303
171	269	1297
172	270	1291
173	270	1286
174	271	1280
175	272	1275
176	273	1270
177	273	1264
178	274	1259
179	275	1253
180	275	1247
181	276	1241
182	277	1236
183	277	1231
184	278	1226
185	278	1220
186	279	1215
187	280	1210
188	281	1205
189	281	1201
190	282	1196
191	283	1191
192	283	1186
193	284	1182
194	285	1177
195	285	1172
196	286	1167
197	287	1163
198	287	1158
199	288	1154
200	289	1149
201	289	1145
202	290	1140
203	291	1136
204	291	1132
205	292	1128
206	293	1123
207	293	1119
208	294	1115
209	295	1111
210	296	1107
211	296	1103
212	297	1099
213	298	1095
214	298	1091
215	299	1087
216	300	1083
217	300	1079
218	301	1075
219	302	1071
220	302	1067
221	303	1064
222	304	1060
223	304	1056
224	305	1052
225	306	1049
226	307	1045
227	307	1041
228	308	1037
229	308	1034
230	309	1030
231	310	1027
232	311	1023
233	311	1020
234	312	1017
235	313	1013
236	313	1010
237	314	1006
238	315	1003
239	315	999
240	316	996
241	316	992
242	317	989
243	318	986
244	318	982
245	319	979
246	320	976
247	320	973
248	321	969
249	322	966
250	323	963
251	323	960
252	324	957
253	325	957
254	326	954
255	327	951
256	327	948
